dE_max_estimated,used_real_mask,valid_pixel_fraction,observed_baseline_rgb,n_baseline_pixels,correction_scale,correction_suspicious,n_valid_windows,n_blocks_dropped_as_implausible,max_dE_raw,part_id,image_filepath,well_size,truck_number,dE_max_measured,label
3.29706005677874,True,0.5642314091435185,"(np.float64(200.0), np.float64(178.0), np.float64(146.0))",5650,"(np.float64(1.028), np.float64(1.101123595505618), np.float64(1.2801369863013699))",False,11710,0,9.248875704530802,114,training_set\images\image_00114.jpg,7038,111.0,2.313704839379035,PASS
4.201239950594483,True,0.5642314091435185,"(np.float64(199.0), np.float64(178.0), np.float64(146.0))",5650,"(np.float64(1.0331658291457286), np.float64(1.101123595505618), np.float64(1.2801369863013699))",False,11710,0,8.148000795210804,115,training_set\images\image_00115.jpg,7038,111.0,4.00600296835397,PASS
3.0541098399709767,True,0.5642314091435185,"(np.float64(199.0), np.float64(178.0), np.float64(145.0))",5650,"(np.float64(1.0331658291457286), np.float64(1.101123595505618), np.float64(1.2889655172413794))",False,11710,0,6.406396218406373,116,training_set\images\image_00116.jpg,7038,111.0,2.395720698107872,PASS
3.077409928515429,True,0.5642314091435185,"(np.float64(200.0), np.float64(176.0), np.float64(140.0))",5650,"(np.float64(1.028), np.float64(1.1136363636363635), np.float64(1.335))",False,11710,0,12.306900901296721,117,training_set\images\image_00117.jpg,7038,111.0,2.432283540516165,PASS
3.330320496140261,True,0.5642314091435185,"(np.float64(202.0), np.float64(179.0), np.float64(146.0))",5650,"(np.float64(1.0178217821782178), np.float64(1.094972067039106), np.float64(1.2801369863013699))",False,11710,0,8.310758296948043,118,training_set\images\image_00118.jpg,7038,111.0,2.045606416569492,PASS
5.906173869049896,True,0.382813102816358,"(np.float64(191.0), np.float64(166.0), np.float64(127.0))",12800,"(np.float64(1.0764397905759162), np.float64(1.180722891566265), np.float64(1.4716535433070868))",False,7969,0,24.096659410226614,120,training_set\images\image_00120.jpg,7024,111.0,2.0069503387289074,PASS
2.726413437889815,True,0.382813102816358,"(np.float64(193.0), np.float64(166.0), np.float64(127.0))",12800,"(np.float64(1.0652849740932642), np.float64(1.180722891566265), np.float64(1.4716535433070868))",False,7969,0,5.989535851842668,121,training_set\images\image_00121.jpg,7024,111.0,8.15758987830649,FAIL
1.6164778701747293,True,0.382813102816358,"(np.float64(191.0), np.float64(164.0), np.float64(125.0))",12800,"(np.float64(1.0764397905759162), np.float64(1.1951219512195121), np.float64(1.4952))",False,7969,0,2.7745267021888407,122,training_set\images\image_00122.jpg,7024,111.0,2.8635851144537403,FAIL
2.617709095847031,True,0.382813102816358,"(np.float64(191.0), np.float64(165.0), np.float64(126.0))",12800,"(np.float64(1.0764397905759162), np.float64(1.187878787878788), np.float64(1.4833333333333334))",False,7969,0,5.997159691828768,123,training_set\images\image_00123.jpg,7024,111.0,5.112935004165309,FAIL
4.207057279348595,True,0.382813102816358,"(np.float64(191.0), np.float64(165.0), np.float64(127.0))",12800,"(np.float64(1.0764397905759162), np.float64(1.187878787878788), np.float64(1.4716535433070868))",False,7969,0,16.02626064311521,124,training_set\images\image_00124.jpg,7024,111.0,6.035557210333703,FAIL
3.2831811212809723,True,0.382813102816358,"(np.float64(192.0), np.float64(166.0), np.float64(128.0))",12800,"(np.float64(1.0708333333333333), np.float64(1.180722891566265), np.float64(1.46015625))",False,7969,0,12.549126413424224,125,training_set\images\image_00125.jpg,7024,111.0,7.715330600289297,FAIL
2.8446552175575412,True,0.382813102816358,"(np.float64(190.0), np.float64(165.0), np.float64(127.0))",12800,"(np.float64(1.0821052631578947), np.float64(1.187878787878788), np.float64(1.4716535433070868))",False,7969,0,11.591572251470602,126,training_set\images\image_00126.jpg,7024,111.0,5.903767453107667,FAIL
2.7386251565153295,True,0.382813102816358,"(np.float64(189.0), np.float64(163.0), np.float64(124.0))",12800,"(np.float64(1.0878306878306878), np.float64(1.2024539877300613), np.float64(1.507258064516129))",False,7969,0,5.92414616651942,127,training_set\images\image_00127.jpg,7024,111.0,8.578533049706222,FAIL
2.7890722966747044,True,0.382813102816358,"(np.float64(191.0), np.float64(165.0), np.float64(127.0))",12800,"(np.float64(1.0764397905759162), np.float64(1.187878787878788), np.float64(1.4716535433070868))",False,7969,0,6.367949195662948,128,training_set\images\image_00128.jpg,7024,111.0,4.505029660060925,FAIL
3.4817279202375,True,0.382813102816358,"(np.float64(192.0), np.float64(166.0), np.float64(127.0))",12800,"(np.float64(1.0708333333333333), np.float64(1.180722891566265), np.float64(1.4716535433070868))",False,7969,0,8.577452175778797,129,training_set\images\image_00129.jpg,7024,111.0,5.979970750029263,FAIL
2.6146666473005253,True,0.382813102816358,"(np.float64(191.0), np.float64(165.0), np.float64(127.0))",12800,"(np.float64(1.0764397905759162), np.float64(1.187878787878788), np.float64(1.4716535433070868))",False,7969,0,3.5985979583868795,131,training_set\images\image_00131.jpg,7024,111.0,6.337628441554772,FAIL
2.705768452361938,True,0.382813102816358,"(np.float64(192.0), np.float64(165.0), np.float64(126.0))",12800,"(np.float64(1.0708333333333333), np.float64(1.187878787878788), np.float64(1.4833333333333334))",False,7969,0,5.633938450523437,132,training_set\images\image_00132.jpg,7024,111.0,7.208624372132039,FAIL
2.319042665028367,True,0.382813102816358,"(np.float64(193.0), np.float64(166.0), np.float64(128.0))",12800,"(np.float64(1.0652849740932642), np.float64(1.180722891566265), np.float64(1.46015625))",False,7969,0,10.61411629570175,133,training_set\images\image_00133.jpg,7024,111.0,5.547714512643849,FAIL
2.480918474223255,True,0.382813102816358,"(np.float64(191.0), np.float64(165.0), np.float64(126.0))",12800,"(np.float64(1.0764397905759162), np.float64(1.187878787878788), np.float64(1.4833333333333334))",False,7969,0,11.570915667801339,134,training_set\images\image_00134.jpg,7024,111.0,4.813350539615102,FAIL
3.4093397747076013,True,0.382813102816358,"(np.float64(193.0), np.float64(166.0), np.float64(127.0))",12800,"(np.float64(1.0652849740932642), np.float64(1.180722891566265), np.float64(1.4716535433070868))",False,7969,0,13.846070006118019,135,training_set\images\image_00135.jpg,7024,111.0,4.846350178298253,FAIL
1.989761383687461,True,0.382813102816358,"(np.float64(192.0), np.float64(166.0), np.float64(126.0))",12800,"(np.float64(1.0708333333333333), np.float64(1.180722891566265), np.float64(1.4833333333333334))",False,7969,0,4.599492915057774,136,training_set\images\image_00136.jpg,7024,111.0,3.782986252328477,FAIL
2.784230878389016,True,0.382813102816358,"(np.float64(193.0), np.float64(165.0), np.float64(125.0))",12800,"(np.float64(1.0652849740932642), np.float64(1.187878787878788), np.float64(1.4952))",False,7969,0,13.34716848726957,137,training_set\images\image_00137.jpg,7024,111.0,4.889185099990756,FAIL
4.716970424168003,True,0.382813102816358,"(np.float64(193.0), np.float64(165.0), np.float64(124.0))",12800,"(np.float64(1.0652849740932642), np.float64(1.187878787878788), np.float64(1.507258064516129))",False,7969,4,27.569305865520043,138,training_set\images\image_00138.jpg,7024,111.0,5.376157129950402,FAIL
3.8556987483847607,True,0.382813102816358,"(np.float64(193.0), np.float64(165.0), np.float64(124.0))",12800,"(np.float64(1.0652849740932642), np.float64(1.187878787878788), np.float64(1.507258064516129))",False,7969,0,17.84943475905182,139,training_set\images\image_00139.jpg,7024,111.0,6.712774559028768,FAIL
4.088334980568801,True,0.382813102816358,"(np.float64(192.0), np.float64(165.0), np.float64(125.0))",12800,"(np.float64(1.0708333333333333), np.float64(1.187878787878788), np.float64(1.4952))",False,7969,0,16.885482380423475,140,training_set\images\image_00140.jpg,7024,111.0,7.48970260823349,FAIL
9.70341431874802,True,0.4214867862654321,"(np.float64(192.0), np.float64(166.0), np.float64(130.0))",12800,"(np.float64(1.0708333333333333), np.float64(1.180722891566265), np.float64(1.4376923076923078))",False,8755,11,37.525608665595634,141,training_set\images\image_00141.jpg,6024,112.0,2.0779509563821965,PASS
8.692361731150537,True,0.4214867862654321,"(np.float64(191.5), np.float64(166.0), np.float64(130.0))",12800,"(np.float64(1.0736292428198433), np.float64(1.180722891566265), np.float64(1.4376923076923078))",False,8755,7,31.746393521018316,142,training_set\images\image_00142.jpg,6024,112.0,2.372384962116799,PASS
7.559996428165628,True,0.4214867862654321,"(np.float64(193.0), np.float64(167.0), np.float64(129.0))",12800,"(np.float64(1.0652849740932642), np.float64(1.1736526946107784), np.float64(1.4488372093023256))",False,8755,0,24.617872782370906,143,training_set\images\image_00143.jpg,6024,112.0,2.7396914522203004,PASS
9.403275331349528,True,0.4214867862654321,"(np.float64(194.0), np.float64(168.0), np.float64(129.0))",12800,"(np.float64(1.0597938144329897), np.float64(1.1666666666666667), np.float64(1.4488372093023256))",False,8755,8,36.438249496191695,144,training_set\images\image_00144.jpg,6024,112.0,2.8786224778793006,PASS
6.774790115798824,True,0.4214867862654321,"(np.float64(194.0), np.float64(167.0), np.float64(129.0))",12800,"(np.float64(1.0597938144329897), np.float64(1.1736526946107784), np.float64(1.4488372093023256))",False,8755,0,19.938911535424783,145,training_set\images\image_00145.jpg,6024,112.0,2.95668188118446,PASS
