part_id,label,dE_max,dE_max_cie76,dE_mean,op_agreement_gap,n_dropped_points,truck_number,date,well_number,well_size
86,PASS,1.44435508882391,2.0193718082611594,0.8515716857590369,0.552379218635222,0,111.0,10/18/2024,18,7024
87,PASS,2.7282549850559255,3.7450517352901924,1.790778175686036,0.751830809716703,0,111.0,10/18/2024,19,7024
89,PASS,2.242809509210499,3.202137957677656,1.825076679621476,0.2061157793060211,0,111.0,10/21/2024,20,7024
90,PASS,2.0597337005485192,2.9075139724513788,1.528528532227264,0.26736450897861674,0,111.0,10/21/2024,21,7024
91,PASS,2.2178459335861778,3.0308693059912697,1.9166668033588632,0.17914879830563057,0,111.0,10/21/2024,22,7024
92,PASS,4.02357611737532,5.287497635933274,1.9000447077108336,1.5642159260104331,0,111.0,10/21/2024,23,7024
93,PASS,2.914717798054555,3.1908707667343794,1.7296369385782617,0.6884796867651475,0,111.0,10/21/2024,24,7024
94,PASS,1.733823270579698,2.3456901969356494,1.5703212715915649,0.0918839827944018,0,111.0,10/21/2024,25,7024
95,PASS,2.7922688320626996,3.327819293471322,1.629490928304121,0.5621154367587295,0,111.0,10/21/2024,26,7024
96,PASS,2.0911055942627903,2.8707697138572517,1.4432606152170528,0.061266216796809214,0,111.0,10/21/2024,27,7024
98,PASS,2.2453663319797164,3.1177936910578223,1.578517099797116,0.23626848178936255,0,111.0,10/21/2024,28,7024
99,PASS,2.287257336556311,3.213052481675335,1.7769101340940603,0.1449248033392796,0,111.0,10/21/2024,29,7024
100,PASS,3.0859606781165474,4.400814318585441,1.9312811868102635,0.7301731076760132,1,111.0,10/21/2024,30,7024
101,PASS,2.1620873553842874,3.0204190520522123,1.8449247042002568,0.3007976864174877,0,111.0,10/21/2024,31,7024
102,PASS,2.449062450447475,3.401963587400666,2.001183424315222,0.4048986519582516,0,111.0,10/21/2024,32,7024
104,PASS,2.1222960611758244,3.008472411374248,1.2305080304854779,0.36742422849532397,0,111.0,10/21/2024,1,7038
105,PASS,2.363641470185178,3.357407854282813,1.720503990642719,0.5788730215103348,0,111.0,10/21/2024,2,7038
106,PASS,5.855829962750695,7.9008820710095415,2.117799795852184,3.8329433756045717,0,111.0,10/21/2024,3,7038
107,PASS,2.0706158110442816,2.9175535556352594,1.6242119506307338,0.08965713974951783,0,111.0,10/21/2024,4,7038
108,PASS,1.7518238219948346,2.4580213078816118,1.25161526487,0.31304005592219486,0,111.0,10/21/2024,5,7038
109,PASS,2.624474434084903,3.6757014636664893,2.128858878749772,0.058401910127829026,0,111.0,10/21/2024,6,7038
110,PASS,2.031857591126254,2.8475142668650455,1.662248978998984,0.07874146209655497,0,111.0,10/21/2024,7,7038
112,PASS,2.2580464550328623,3.1771311745031956,1.8841592478412033,0.264656386235949,0,111.0,10/21/2024,8,7038
113,PASS,1.931435532259725,2.7449089238078486,1.4578557631618312,0.569960626143408,0,111.0,10/21/2024,9,7038
114,PASS,2.313704839379035,3.275269284942669,1.5582244994428958,0.8373508523719293,1,111.0,10/21/2024,10,7038
115,PASS,4.00600296835397,5.704923312368007,1.7891896428364584,2.5268726343909416,0,111.0,10/21/2024,11,7038
116,PASS,2.3957206981078722,3.3616904229866162,1.9707786406633236,0.09906091074981305,0,111.0,10/21/2024,12,7038
117,PASS,2.432283540516165,3.4460856417100265,1.971826632833989,0.43063314621287585,0,111.0,10/21/2024,13,7038
118,PASS,2.0456064165694916,2.608565218659482,1.6419060965233214,0.14449709156796864,0,111.0,10/21/2024,14,7038
120,PASS,2.0069503387289074,2.6281231420920927,1.1095572577087585,1.2624231843489477,0,111.0,10/29/2024,34,7024
121,FAIL,8.15758987830649,12.118098293461726,5.583262719958469,1.3763747618656437,0,111.0,10/29/2024,35,7024
122,FAIL,2.8635851144537403,4.0442497759164135,2.172982925155523,0.3844219604647843,0,111.0,10/29/2024,36,7024
123,FAIL,5.112935004165309,6.748335905984527,3.662099541194229,1.6760072028498634,0,111.0,10/29/2024,37,7024
124,FAIL,6.035557210333703,8.166283196779306,4.607023088329097,0.3944413671516207,0,111.0,10/29/2024,38,7024
125,FAIL,7.715330600289297,10.827853549988566,4.312536302053329,4.861765268989379,0,111.0,10/29/2024,39,7024
126,FAIL,5.903767453107667,7.862857702515034,4.7335635388361395,0.39559987604493063,0,111.0,10/29/2024,40,7024
