dE_max_estimated,used_real_mask,valid_pixel_fraction,observed_baseline_rgb,n_baseline_pixels,correction_scale,correction_suspicious,used_background_model,n_valid_windows,n_blocks_dropped_as_implausible,max_dE_raw,part_id,image_filepath,well_size,truck_number,dE_max_measured,label
14.35188403535504,True,0.4214867862654321,"(np.float64(144.0), np.float64(146.0), np.float64(150.0))",12800,"(np.float64(1.4277777777777778), np.float64(1.3424657534246576), np.float64(1.246))",False,False,8755,6,30.485616580798535,778,training_set\images\image_00778.jpg,6024,120.0,2.4917508172011926,PASS
13.448252967614629,True,0.4214867862654321,"(np.float64(186.0), np.float64(162.0), np.float64(127.0))",12800,"(np.float64(1.1053763440860214), np.float64(1.2098765432098766), np.float64(1.4716535433070868))",False,False,8755,0,22.268296187487163,441,training_set\images\image_00441.jpg,6024,104.0,3.251464187808773,FAIL
16.5769797273311,True,0.6222890142746914,"(np.float64(193.5), np.float64(167.0), np.float64(131.0))",12800,"(np.float64(1.062532299741602), np.float64(1.1736526946107784), np.float64(1.4267175572519084))",False,False,12878,36,50.58032811449811,177,training_set\images\image_00177.jpg,6038,112.0,1.923366211201466,PASS
16.17151842316915,True,0.5642314091435185,"(np.float64(144.0), np.float64(144.0), np.float64(147.0))",5650,"(np.float64(1.4277777777777778), np.float64(1.3611111111111112), np.float64(1.2714285714285716))",False,False,11710,39,50.0643482051033,690,training_set\images\image_00690.jpg,7038,118.0,2.41325210228956,PASS
11.14736534094882,True,0.4214867862654321,"(np.float64(177.0), np.float64(151.0), np.float64(117.0))",12800,"(np.float64(1.1615819209039548), np.float64(1.2980132450331126), np.float64(1.5974358974358975))",False,False,8755,0,19.27485391416726,944,training_set\images\image_00944.jpg,6024,124.0,1.853608105369868,PASS
8.899371446105798,True,0.382813102816358,"(np.float64(143.0), np.float64(145.0), np.float64(148.0))",12800,"(np.float64(1.4377622377622377), np.float64(1.3517241379310345), np.float64(1.262837837837838))",False,False,7969,0,14.805410190027459,661,training_set\images\image_00661.jpg,7024,118.0,2.880518491494643,PASS
9.702082444182775,True,0.4214867862654321,"(np.float64(139.0), np.float64(141.0), np.float64(145.5))",12800,"(np.float64(1.4791366906474819), np.float64(1.3900709219858156), np.float64(1.284536082474227))",False,False,8755,0,13.391838512711466,912,training_set\images\image_00912.jpg,6024,123.0,2.443571994832238,PASS
7.316585666826832,True,0.382813102816358,"(np.float64(195.0), np.float64(171.0), np.float64(135.0))",12800,"(np.float64(1.0543589743589743), np.float64(1.1461988304093567), np.float64(1.3844444444444446))",False,False,7969,0,12.30546530635522,101,training_set\images\image_00101.jpg,7024,111.0,2.1620873553842874,PASS
11.664338675980176,True,0.4214867862654321,"(np.float64(61.0), np.float64(52.0), np.float64(38.0))",12800,"(np.float64(3.3704918032786884), np.float64(3.769230769230769), np.float64(4.9184210526315795))",True,False,8755,0,20.096642951175443,537,training_set\images\image_00537.jpg,6024,115.0,1.6844477727383758,PASS
13.8949015768984,True,0.5642314091435185,"(np.float64(149.0), np.float64(150.0), np.float64(153.0))",5650,"(np.float64(1.3798657718120806), np.float64(1.3066666666666666), np.float64(1.2215686274509805))",False,False,11710,0,18.128541465397834,1106,training_set\images\image_01106.jpg,7038,129.0,1.9381830150395152,PASS
