dE_max_estimated,used_real_mask,valid_pixel_fraction,observed_baseline_rgb,n_baseline_pixels,correction_scale,correction_suspicious,used_background_model,n_valid_windows,n_blocks_dropped_as_implausible,max_dE_raw,part_id,image_filepath,well_size,truck_number,dE_max_measured,label
7.0859665450489935,True,0.382813102816358,"(np.float64(195.0), np.float64(171.0), np.float64(135.0))",12800,"(np.float64(1.0543589743589743), np.float64(1.1461988304093567), np.float64(1.3844444444444446))",False,False,7969,0,13.644081764723808,98,training_set\images\image_00098.jpg,7024,111.0,2.2453663319797164,PASS
7.242615442474068,True,0.382813102816358,"(np.float64(196.0), np.float64(172.0), np.float64(135.0))",12800,"(np.float64(1.0489795918367346), np.float64(1.1395348837209303), np.float64(1.3844444444444446))",False,False,7969,0,12.355192450342336,99,training_set\images\image_00099.jpg,7024,111.0,2.287257336556311,PASS
7.442717712499646,True,0.382813102816358,"(np.float64(195.0), np.float64(170.0), np.float64(135.0))",12800,"(np.float64(1.0543589743589743), np.float64(1.1529411764705881), np.float64(1.3844444444444446))",False,False,7969,0,13.564409998615309,100,training_set\images\image_00100.jpg,7024,111.0,3.0859606781165474,PASS
7.316585666826832,True,0.382813102816358,"(np.float64(195.0), np.float64(171.0), np.float64(135.0))",12800,"(np.float64(1.0543589743589743), np.float64(1.1461988304093567), np.float64(1.3844444444444446))",False,False,7969,0,12.30546530635522,101,training_set\images\image_00101.jpg,7024,111.0,2.1620873553842874,PASS
7.518008266688807,True,0.382813102816358,"(np.float64(195.0), np.float64(170.0), np.float64(134.0))",12800,"(np.float64(1.0543589743589743), np.float64(1.1529411764705881), np.float64(1.394776119402985))",False,False,7969,0,13.495187155001178,102,training_set\images\image_00102.jpg,7024,111.0,2.449062450447475,PASS
11.39089180583047,True,0.5642314091435185,"(np.float64(200.0), np.float64(177.0), np.float64(143.0))",5650,"(np.float64(1.028), np.float64(1.1073446327683616), np.float64(1.3069930069930071))",False,False,11710,0,22.77097772150773,104,training_set\images\image_00104.jpg,7038,111.0,2.1222960611758244,PASS
13.133039465647544,True,0.5642314091435185,"(np.float64(201.0), np.float64(178.0), np.float64(145.0))",5650,"(np.float64(1.0228855721393035), np.float64(1.101123595505618), np.float64(1.2889655172413794))",False,False,11710,0,20.11578831208907,105,training_set\images\image_00105.jpg,7038,111.0,2.363641470185178,PASS
10.53156181932207,True,0.5642314091435185,"(np.float64(199.0), np.float64(177.0), np.float64(143.0))",5650,"(np.float64(1.0331658291457286), np.float64(1.1073446327683616), np.float64(1.3069930069930071))",False,False,11710,0,12.97801843516631,106,training_set\images\image_00106.jpg,7038,111.0,5.855829962750695,PASS
11.678750923281358,True,0.5642314091435185,"(np.float64(199.0), np.float64(176.0), np.float64(142.0))",5650,"(np.float64(1.0331658291457286), np.float64(1.1136363636363635), np.float64(1.3161971830985917))",False,False,11710,0,13.164576887258697,107,training_set\images\image_00107.jpg,7038,111.0,2.0706158110442816,PASS
11.773800583035637,True,0.5642314091435185,"(np.float64(198.0), np.float64(173.0), np.float64(137.0))",5650,"(np.float64(1.0383838383838384), np.float64(1.1329479768786128), np.float64(1.364233576642336))",False,False,11710,0,13.345169061490074,108,training_set\images\image_00108.jpg,7038,111.0,1.7518238219948346,PASS
12.164482670721501,True,0.5642314091435185,"(np.float64(201.0), np.float64(179.0), np.float64(146.0))",5650,"(np.float64(1.0228855721393035), np.float64(1.094972067039106), np.float64(1.2801369863013699))",False,False,11710,0,14.269539885630584,109,training_set\images\image_00109.jpg,7038,111.0,2.624474434084903,PASS
11.534970083314517,True,0.5642314091435185,"(np.float64(200.0), np.float64(178.0), np.float64(146.0))",5650,"(np.float64(1.028), np.float64(1.101123595505618), np.float64(1.2801369863013699))",False,False,11710,0,13.024014332036192,110,training_set\images\image_00110.jpg,7038,111.0,2.031857591126254,PASS
10.879753816094075,True,0.5642314091435185,"(np.float64(197.0), np.float64(173.0), np.float64(137.0))",5650,"(np.float64(1.0436548223350253), np.float64(1.1329479768786128), np.float64(1.364233576642336))",False,False,11710,0,14.4314578858936,112,training_set\images\image_00112.jpg,7038,111.0,2.2580464550328623,PASS
11.695025323754903,True,0.5642314091435185,"(np.float64(200.0), np.float64(178.0), np.float64(145.0))",5650,"(np.float64(1.028), np.float64(1.101123595505618), np.float64(1.2889655172413794))",False,False,11710,0,12.73669906595386,113,training_set\images\image_00113.jpg,7038,111.0,1.931435532259725,PASS
11.277806694801047,True,0.5642314091435185,"(np.float64(200.0), np.float64(178.0), np.float64(146.0))",5650,"(np.float64(1.028), np.float64(1.101123595505618), np.float64(1.2801369863013699))",False,False,11710,0,12.189675365657843,114,training_set\images\image_00114.jpg,7038,111.0,2.313704839379035,PASS
11.238642870269016,True,0.5642314091435185,"(np.float64(199.0), np.float64(178.0), np.float64(146.0))",5650,"(np.float64(1.0331658291457286), np.float64(1.101123595505618), np.float64(1.2801369863013699))",False,False,11710,0,15.191961118791964,115,training_set\images\image_00115.jpg,7038,111.0,4.00600296835397,PASS
11.287082230492372,True,0.5642314091435185,"(np.float64(199.0), np.float64(178.0), np.float64(145.0))",5650,"(np.float64(1.0331658291457286), np.float64(1.101123595505618), np.float64(1.2889655172413794))",False,False,11710,0,13.090886844551004,116,training_set\images\image_00116.jpg,7038,111.0,2.395720698107872,PASS
11.219020321569444,True,0.5642314091435185,"(np.float64(200.0), np.float64(176.0), np.float64(140.0))",5650,"(np.float64(1.028), np.float64(1.1136363636363635), np.float64(1.335))",False,False,11710,0,13.379238842810928,117,training_set\images\image_00117.jpg,7038,111.0,2.432283540516165,PASS
11.461401833503938,True,0.5642314091435185,"(np.float64(202.0), np.float64(179.0), np.float64(146.0))",5650,"(np.float64(1.0178217821782178), np.float64(1.094972067039106), np.float64(1.2801369863013699))",False,False,11710,0,16.58585496246415,118,training_set\images\image_00118.jpg,7038,111.0,2.045606416569492,PASS
14.630094859559588,True,0.382813102816358,"(np.float64(191.0), np.float64(166.0), np.float64(127.0))",12800,"(np.float64(1.0764397905759162), np.float64(1.180722891566265), np.float64(1.4716535433070868))",False,False,7969,0,21.97287818687503,120,training_set\images\image_00120.jpg,7024,111.0,2.0069503387289074,PASS
8.05568914581543,True,0.382813102816358,"(np.float64(193.0), np.float64(166.0), np.float64(127.0))",12800,"(np.float64(1.0652849740932642), np.float64(1.180722891566265), np.float64(1.4716535433070868))",False,False,7969,0,9.919705103047395,121,training_set\images\image_00121.jpg,7024,111.0,8.15758987830649,FAIL
7.039759057383776,True,0.382813102816358,"(np.float64(191.0), np.float64(164.0), np.float64(125.0))",12800,"(np.float64(1.0764397905759162), np.float64(1.1951219512195121), np.float64(1.4952))",False,False,7969,0,7.3261047403974935,122,training_set\images\image_00122.jpg,7024,111.0,2.8635851144537403,FAIL
